"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --time --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --output dstat/data/csv/dstat/all.csv 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
"time","usr","sys","idl","wai","stl","read","writ","in","out","138","139","140","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","int","csw","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH"
22-03 22:05:24,5.660,1.887,92.327,0.126,0,0,0,0,0,0,23,0,6.540,9.030,4.680,3587432448,1754931200,193253376,10586906624,1368,3192,0,0,0,0,0,1835008,1021571072,1338,3253,0,13152,350063,0,0,6,56,12,10,58,0,1077,17,23,0,0,7,10,0,7,1,20,7,56,874,54,820,0,1088,1949,3920,0,0,0,0,0,286951,3141,138171,22176,
22-03 22:05:25,3.522,1.132,95.094,0.252,0,0,0,0,0,0,71,0,6.540,9.030,4.680,3587432448,1754972160,193253376,10585550848,16172,2708,1,0,0,0,0,1835008,1021571072,1244,1901,0,13152,350058,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,4,111,503,0,0,0,0,0,286951,3141,138181,22176,
22-03 22:05:26,4.672,2.399,92.424,0.505,0,0,2539520,0,0,0,33,0,6.010,8.880,4.650,3588431872,1753972736,193265664,10585538560,15984,5486,0,0,8,0,40,1835008,1021571072,1568,3951,0,13152,350057,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1543,1815,1784,0,0,0,0,0,286951,3141,137937,22176,
22-03 22:05:27,3.652,1.259,94.962,0.126,0,0,0,0,0,0,25,0,6.010,8.880,4.650,3589328896,1753051136,193265664,10586087424,15674,993,1,0,0,0,0,1835008,1021571072,1181,1912,0,13152,350058,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,22,256,131,0,0,0,0,0,286951,3141,137652,22176,
22-03 22:05:28,3.540,1.517,94.943,0,0,0,0,0,0,0,16,0,6.010,8.880,4.650,3589808128,1752571904,193265664,10585821184,0,358,0,0,8,0,0,1835008,1021571072,1315,3177,0,13152,350057,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1350,1385,1536,0,0,0,0,0,286951,3141,137595,22176,
22-03 22:05:29,3.526,1.259,95.088,0.126,0,0,0,0,0,0,14,0,6.010,8.880,4.650,3589754880,1752571904,193265664,10586140672,0,0,0,0,0,0,0,1835008,1021571072,1197,1853,0,13152,350068,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,151,428,278,0,0,0,0,0,286951,3141,137595,22176,
22-03 22:05:30,4.151,1.761,93.836,0.252,0,0,0,0,0,0,17,0,6.010,8.880,4.650,3582668800,1759657984,193265664,10585874432,167,259,0,0,0,0,0,1835008,1021571072,1251,2041,0,13152,350077,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,562,439,9537,0,0,0,0,0,286951,3141,139325,22176,
22-03 22:05:31,3.788,2.273,93.434,0.505,0,0,17719296,0,0,0,43,0,5.610,8.750,4.630,3586228224,1755955200,193277952,10587320320,396,374,1,0,8,0,488,1835008,1021571072,1921,6729,0,13152,350089,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1421,4402,3878,0,0,0,0,0,286951,3141,138298,22176,
22-03 22:05:32,3.531,1.135,95.334,0,0,0,0,0,0,0,16,0,5.610,8.750,4.630,3586691072,1755451392,193277952,10585993216,0,0,1,0,0,0,0,1835008,1021571072,1173,1837,0,13152,350087,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,81,115,520,0,0,0,0,0,286951,3141,138298,22176,
22-03 22:05:33,3.149,1.889,94.836,0.126,0,0,0,0,0,0,16,0,5.610,8.750,4.630,3587432448,1754710016,193277952,10586275840,0,0,0,0,8,0,0,1835008,1021571072,1291,3138,0,13152,350088,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,1302,1543,1373,0,0,0,0,0,286951,3141,138117,22176,
22-03 22:05:34,4.156,1.385,94.458,0,0,0,0,0,0,0,18,0,5.610,8.750,4.630,3552415744,1789726720,193277952,10586009600,0,0,0,0,0,0,0,1835008,1021571072,1158,1873,0,13152,350087,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,260,290,10574,0,0,0,0,0,287215,3141,146473,22176,
22-03 22:05:35,4.040,1.515,94.192,0.253,0,0,0,0,0,0,23,0,5.610,8.750,4.630,3552088064,1790050304,193277952,10586279936,1249,3192,1,0,1,0,0,1835008,1021571072,1403,2890,0,13152,350089,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,498,444,310,0,0,0,0,0,287215,3141,146358,22176,
22-03 22:05:36,3.909,2.396,93.443,0.252,0,0,0,0,0,0,23,0,5.160,8.610,4.610,3551240192,1790877696,193277952,10586034176,11374,1550,0,0,8,0,0,1835008,1021571072,1430,3472,0,13152,350087,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1417,1460,1788,0,0,0,0,0,287215,3141,146752,22176,
22-03 22:05:37,3.279,1.135,94.956,0.631,0,0,122880,0,0,0,54,0,5.160,8.610,4.610,3551420416,1790681088,193286144,10586832896,7158,1358,1,0,0,0,20,1835008,1021571072,1181,1998,0,13152,350088,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,5,527,145,0,0,0,0,0,287215,3141,146635,22176,
22-03 22:05:38,4.660,1.763,93.577,0,0,0,0,0,0,0,18,0,5.160,8.610,4.610,3541471232,1800630272,193286144,10586558464,86,106,0,0,8,0,0,1835008,1021571072,1305,3083,0,13152,350108,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1860,1794,4644,0,0,0,0,0,287215,3141,149064,22176,
22-03 22:05:39,3.149,1.259,95.466,0.126,0,0,0,0,0,0,15,0,5.160,8.610,4.610,3541839872,1800126464,193286144,10586177536,0,0,0,0,0,0,0,1835008,1021571072,1048,1825,0,13152,350107,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,15,123,247,0,0,0,0,0,287215,3141,148941,22176,
22-03 22:05:40,3.643,1.256,95.101,0,0,0,0,0,0,0,16,0,5.160,8.610,4.610,3541569536,1800396800,193286144,10586185728,82,0,0,0,0,0,0,1835008,1021571072,1117,1906,0,13152,350108,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,84,238,129,0,0,0,0,0,287215,3141,148945,22176,
22-03 22:05:41,3.518,2.010,94.347,0.126,0,0,0,0,0,0,22,0,4.750,8.460,4.580,3540742144,1801224192,193286144,10586177536,650,484,1,0,8,0,0,1835008,1021571072,1280,3019,0,13152,350107,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1294,1393,1533,0,0,0,0,0,287215,3141,149267,22176,
22-03 22:05:42,4.005,1.752,93.992,0.250,0,0,0,0,0,0,17,0,4.750,8.460,4.580,3540492288,1801474048,193286144,10586443776,167,187,0,0,0,0,0,1835008,1021571072,1083,1860,0,13152,350108,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,276,276,121,0,0,0,0,0,287215,3141,149270,22176,
22-03 22:05:43,4.151,1.509,93.962,0.377,0,0,147456,0,0,0,44,0,4.750,8.460,4.580,3540721664,1801244672,193294336,10586169344,78,106,0,0,8,0,12,1835008,1021571072,1309,3170,0,13152,350107,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,1288,1423,1536,0,0,0,0,0,287215,3141,149217,22176,
22-03 22:05:44,3.535,0.884,95.581,0,0,0,0,0,0,0,19,0,4.750,8.460,4.580,3541180416,1800761344,193294336,10587508736,642,0,0,0,0,0,0,1835008,1021571072,1155,1875,0,13152,350109,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,85,534,174,0,0,0,0,0,287215,3141,149096,22176,
22-03 22:05:45,3.531,1.513,94.830,0.126,0,0,0,0,0,0,16,0,4.750,8.460,4.580,3337121792,2004684800,193294336,10586071040,175,0,0,0,0,0,0,1835008,1021571072,1165,1945,0,13152,350127,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,1247,1484,50454,0,0,0,0,0,287215,3141,198882,22176,
22-03 22:05:46,3.788,1.641,94.571,0,0,0,0,0,0,0,20,0,4.370,8.320,4.560,3338104832,2003697664,193294336,10586341376,167,187,0,0,8,0,0,1835008,1021571072,1264,3140,0,13152,350128,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,1545,1530,1392,0,0,0,0,0,287215,3141,198641,22176,
22-03 22:05:47,3.648,1.635,94.465,0.252,0,0,0,0,0,0,18,0,4.370,8.320,4.560,3338870784,2002931712,193294336,10586075136,298,1707,0,0,1,0,0,1835008,1021571072,1252,2691,0,13152,350128,0,0,6,56,12,10,58,0,1075,18,20,0,0,7,9,1,6,2,17,7,56,874,54,820,0,326,312,436,0,0,0,0,0,287215,3141,198454,22176,
22-03 22:05:48,4.523,2.010,93.216,0.251,0,0,0,0,0,0,38,0,4.370,8.320,4.560,3339112448,2002690048,193294336,10586341376,17045,4233,0,0,8,0,0,1835008,1021571072,1443,3395,0,13120,350128,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1500,1708,1443,0,0,0,0,0,287215,3141,198397,22176,
22-03 22:05:49,2.781,1.011,95.449,0.759,0,0,196608,0,0,0,54,0,4.370,8.320,4.560,3339325440,2003034112,193302528,10585509888,0,0,0,0,0,0,30,1835008,1021571072,1143,1944,0,13120,350067,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,3,158,465,0,0,0,0,0,287215,3141,198479,22176,
22-03 22:05:50,3.165,1.266,95.570,0,0,0,0,0,0,0,17,0,4.370,8.320,4.560,3339829248,2002530304,193302528,10587082752,167,259,0,0,0,0,0,1835008,1021571072,1189,1936,0,13120,350069,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,253,511,118,0,0,0,0,0,287215,3141,198293,22176,
22-03 22:05:51,4.277,1.761,93.836,0.126,0,0,0,0,0,0,20,0,4.020,8.180,4.530,3338432512,2003910656,193302528,10586300416,229,187,1,0,7,0,0,1835008,1021571072,1293,3094,0,13120,350075,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1156,1273,1318,0,0,0,0,0,287215,3141,198693,22176,
22-03 22:05:52,3.526,1.889,94.458,0.126,0,0,3440640,0,0,0,15,0,4.020,8.180,4.530,3334189056,2014502912,193302528,10579177472,0,0,0,0,1,0,510,1835008,1021571072,1387,2687,0,13120,348957,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,467,992,4982,0,0,0,0,0,288799,3141,199711,22176,
22-03 22:05:53,4.540,1.639,93.821,0,0,0,0,0,0,0,15,0,4.020,8.180,4.530,3334008832,2014855168,193302528,10579529728,0,0,2,0,8,0,0,1835008,1021571072,1240,2998,0,13120,348968,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,2352,2641,1424,0,0,0,0,0,288799,3141,199791,22176,
22-03 22:05:54,4.266,1.506,94.103,0.125,0,0,0,0,0,0,17,0,4.020,8.180,4.530,3334434816,2015457280,193302528,10577977344,0,358,1,0,0,0,0,1835008,1021571072,1044,1827,0,13120,348881,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,283,122,474,0,0,0,0,0,288799,3141,199928,22176,
22-03 22:05:55,3.662,1.136,95.076,0.126,0,0,2015232,0,0,0,47,0,4.020,8.180,4.530,3334852608,2014773248,193314816,10578497536,0,0,0,0,0,0,46,1835008,1021571072,1193,1975,0,13120,348882,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,19,523,373,0,0,0,0,0,288799,3141,199756,22176,
22-03 22:05:56,9.398,2.882,87.594,0.125,0,0,229376,0,0,0,39,0,3.850,8.080,4.520,3356045312,1993814016,193323008,10586439680,5887,5605,1,0,31,0,20,1835008,1021571072,2891,12160,0,13152,349033,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,6,1,17,8,56,890,54,836,0,23751,24255,14260,0,0,0,0,0,288799,3141,194772,22176,
22-03 22:05:57,3.774,1.887,94.214,0.126,0,0,0,0,0,0,17,0,3.850,8.080,4.520,3356262400,1993584640,193323008,10588053504,0,0,0,0,8,0,0,1835008,1021571072,1311,3110,0,13184,349037,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,6,1,17,8,56,890,54,836,0,695,1250,1105,0,0,0,0,0,288799,3141,194526,22176,
22-03 22:05:58,3.909,2.144,93.947,0,0,0,0,0,0,0,22,0,3.850,8.080,4.520,3356491776,1993355264,193323008,10586722304,1249,3192,1,0,8,0,0,1835008,1021571072,1410,3825,0,13184,349035,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,7,1,17,8,56,890,54,836,0,1381,1474,2237,0,0,0,0,0,288799,3141,194532,22176,
22-03 22:05:59,5.203,1.650,93.020,0.127,0,0,0,0,0,0,36,0,3.850,8.080,4.520,3356663808,1992650752,193323008,10587312128,15972,3066,1,0,1,0,0,1835008,1021571072,1481,3133,0,13184,349074,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,7,1,17,8,56,890,54,836,0,2290,4528,3066,0,0,0,0,0,288799,3141,194364,22176,
22-03 22:06:00,4.030,1.134,94.836,0,0,0,0,0,0,0,16,0,3.850,8.080,4.520,3356798976,1992413184,193323008,10587025408,0,0,1,0,0,0,0,1835008,1021571072,1217,2011,0,13184,349083,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,7,1,17,8,56,890,54,836,0,356,464,671,0,0,0,0,0,288799,3141,194239,22176,
22-03 22:06:01,3.522,1.509,94.591,0.377,0,0,450560,0,0,0,54,0,3.550,7.950,4.490,3357052928,1992155136,193331200,10587115520,0,0,1,0,0,0,22,1835008,1021571072,1158,1907,0,13184,349083,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,7,1,17,8,56,890,54,836,0,95,230,207,0,0,0,0,0,288799,3141,194239,22176,
22-03 22:06:02,4.282,2.897,92.695,0.126,0,0,0,0,0,0,15,0,3.550,7.950,4.490,3356803072,1992392704,193331200,10587394048,0,0,0,0,16,0,0,1835008,1021571072,1577,5391,0,13184,349087,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,7,1,17,8,56,890,54,836,0,2869,2766,11590,0,0,0,0,0,288799,3141,194234,22176,
22-03 22:06:03,3.544,1.646,94.684,0.127,0,0,270336,0,0,0,16,0,3.550,7.950,4.490,3357954048,1991245824,193347584,10587107328,0,0,3,0,8,0,46,1835008,1021571072,1298,3170,0,13184,349083,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,7,1,17,8,56,890,54,836,0,1286,1451,1604,0,0,0,0,0,288799,3141,194017,22176,
22-03 22:06:04,3.409,1.136,95.328,0.126,0,0,0,0,0,0,15,0,3.550,7.950,4.490,3359993856,1989185536,193347584,10588700672,0,358,0,0,0,0,0,1835008,1021571072,1103,1895,0,13184,349085,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,6,1,17,8,56,890,54,836,0,80,508,143,0,0,0,0,0,288799,3141,193514,22176,
22-03 22:06:05,3.657,1.135,95.208,0,0,0,0,0,0,0,18,0,3.550,7.950,4.490,3359993856,1989185536,193347584,10587127808,119,0,0,0,0,0,0,1835008,1021571072,1134,1976,0,13184,349083,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,6,1,17,8,56,890,54,836,0,3,123,671,0,0,0,0,0,288799,3141,193396,22176,
22-03 22:06:06,4.523,1.382,93.970,0.126,0,0,655360,0,0,0,21,0,3.260,7.810,4.470,3360419840,1988702208,193355776,10587443200,591,187,0,0,0,0,22,1835008,1021571072,1206,2194,0,13184,349094,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,6,1,17,8,56,890,54,836,0,508,781,763,0,0,0,0,0,288799,3141,193333,22176,
22-03 22:06:07,3.666,2.149,94.058,0.126,0,0,6086656,0,0,0,59,0,3.260,7.810,4.470,3363196928,1985925120,193355776,10587435008,0,0,0,0,8,0,672,1835008,1021571072,1567,3953,0,13184,349093,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,6,1,17,8,56,890,54,836,0,1302,2160,2278,0,0,0,0,0,288799,3141,192662,22176,
22-03 22:06:08,7.206,2.781,89.886,0.126,0,0,0,0,0,0,17,0,3.260,7.810,4.470,3465625600,1877278720,193355776,10593660928,0,0,1,0,8,0,0,1835008,1021571072,2382,36634,0,13184,350164,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,6,1,17,8,56,890,54,836,0,54985,76977,50147,0,0,0,0,0,288799,3141,166067,22176,
22-03 22:06:09,3.783,1.513,94.578,0.126,0,0,0,0,0,0,24,0,3.260,7.810,4.470,3466338304,1876516864,193355776,10593439744,1249,3550,0,0,0,0,0,1835008,1021571072,1244,2699,0,13184,350164,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,7,1,17,8,56,890,54,836,0,33,196,300,0,0,0,0,0,288799,3141,166007,22176,
22-03 22:06:10,4.156,1.008,94.836,0,0,0,0,0,0,0,36,0,3.260,7.810,4.470,3466334208,1876516864,193355776,10595016704,16331,3007,0,0,0,0,0,1835008,1021571072,1248,2199,0,13184,350166,0,0,6,57,12,10,59,0,1091,17,20,0,0,7,10,0,7,1,17,8,56,890,54,836,0,173,518,140,0,0,0,0,0,288799,3141,166007,22176,
22-03 22:06:11,3.634,2.381,93.860,0.125,0,0,2547712,0,0,0,17,0,3,7.680,4.440,3450617856,1892233216,193368064,10591436800,229,187,1,0,1,0,44,1835008,1021571072,1221,2390,0,13152,350095,0,0,6,57,12,10,59,0,1085,17,20,0,0,7,10,0,7,1,17,8,56,884,54,830,0,644,695,3884,0,0,0,0,0,288799,3141,169799,22176,
22-03 22:06:12,4.672,1.894,93.308,0.126,0,0,0,0,0,0,14,0,3,7.680,4.440,3425853440,1916854272,193368064,10585100288,0,0,0,0,8,0,0,1835008,1021571072,1501,3288,0,13120,349987,0,0,6,57,12,10,59,0,1075,17,20,0,0,7,10,0,7,1,17,8,56,874,54,820,0,1467,1596,6844,0,0,0,0,0,288799,3141,175828,22176,
22-03 22:06:13,3.295,1.394,95.311,0,0,0,0,0,0,0,57,0,3,7.680,4.440,3426398208,1916260352,193368064,10585669632,0,0,0,0,8,0,0,1835008,1021571072,1239,3093,0,13120,349998,0,0,6,57,12,10,59,0,1075,17,20,0,0,7,10,0,7,1,17,8,56,874,54,820,0,1402,1527,1442,0,0,0,0,0,288799,3141,175710,22176,
22-03 22:06:14,3.630,1.126,95.119,0.125,0,0,0,0,0,0,18,0,3,7.680,4.440,3424796672,1917816832,193368064,10585190400,167,187,1,0,0,0,0,1835008,1021571072,1176,1743,0,13152,350007,0,0,6,57,12,10,59,0,1075,17,20,0,0,7,10,0,7,1,17,8,56,874,54,820,0,303,291,852,0,0,0,0,0,288799,3141,176027,22176,
22-03 22:06:15,3.909,1.009,94.830,0.252,0,0,0,0,0,0,20,0,3,7.680,4.440,3425222656,1917300736,193368064,10585546752,240,358,1,0,0,0,0,1835008,1021571072,1163,2018,0,13184,350018,0,0,6,57,12,10,59,0,1075,17,20,0,0,7,10,0,6,1,17,8,56,874,54,820,0,371,627,450,0,0,0,0,0,288799,3141,175964,22176,
22-03 22:06:16,3.652,1.259,94.836,0.252,0,0,0,0,0,0,15,0,2.760,7.560,4.420,3425288192,1917300736,193368064,10585473024,0,0,0,0,0,0,0,1835008,1021571072,1248,2100,0,13184,350017,0,0,6,57,12,10,59,0,1075,17,20,0,0,7,10,0,6,1,17,8,56,874,54,820,0,98,128,288,0,0,0,0,0,288799,3141,175908,22176,
22-03 22:06:17,3.764,2.133,93.726,0.376,0,0,278528,0,0,0,15,0,2.760,7.560,4.420,3427311616,1915269120,193376256,10586546176,0,0,0,0,8,0,32,1835008,1021571072,1348,3173,0,13184,350019,0,0,6,57,12,10,59,0,1075,17,20,0,0,7,10,0,6,1,17,8,56,874,54,820,0,1307,1852,1521,0,0,0,0,0,288799,3141,175468,22176,
22-03 22:06:18,3.783,1.135,95.082,0,0,0,0,0,0,0,15,0,2.760,7.560,4.420,3427024896,1915539456,193376256,10585231360,0,0,1,0,4,0,0,1835008,1021571072,1093,2406,0,13184,350022,0,0,6,57,12,10,59,0,1075,17,20,0,0,7,10,0,6,1,17,8,56,874,54,820,0,793,726,870,0,0,0,0,0,288799,3141,175534,22176,
22-03 22:06:19,3.652,1.763,94.458,0.126,0,0,1138688,0,0,0,48,0,2.760,7.560,4.420,3429081088,1913475072,193376256,10585763840,326,252,0,0,4,0,22,1835008,1021571072,1285,2525,0,13184,350017,0,0,6,57,12,10,59,0,1074,16,20,0,0,7,8,0,6,2,17,8,56,874,54,820,0,1068,1637,1463,0,0,0,0,0,288799,3141,174968,22176,
22-03 22:06:20,4.282,1.511,94.081,0.126,0,0,0,0,0,0,31,0,2.760,7.560,4.420,3428782080,1913774080,193376256,10585497600,1619,4848,0,0,0,0,0,1835008,1021571072,1326,2894,0,13184,350027,0,0,6,57,12,10,59,0,1074,16,20,0,0,7,8,0,7,2,17,8,56,874,54,820,0,293,359,617,0,0,0,0,0,288799,3141,175164,22176,
22-03 22:06:21,4.177,1.392,94.430,0,0,0,0,0,0,0,41,0,2.540,7.430,4.400,3429265408,1913249792,193376256,10585804800,17426,3575,0,0,0,0,0,1835008,1021571072,1277,2333,0,13184,350028,0,0,6,57,12,10,59,0,1074,16,20,0,0,7,8,0,7,2,17,8,56,874,54,820,0,27,282,408,0,0,0,0,0,288799,3141,174975,22176,
22-03 22:06:22,4.035,2.018,93.821,0.126,0,0,278528,0,0,0,15,0,2.540,7.430,4.400,3429257216,1913253888,193384448,10585534464,0,0,0,0,8,0,32,1835008,1021571072,1429,3244,0,13184,350026,0,0,6,57,12,10,59,0,1074,16,20,0,0,7,8,0,7,2,17,8,56,874,54,820,0,1450,1456,1581,0,0,0,0,0,288799,3141,174976,22176,
22-03 22:06:23,3.774,1.635,94.465,0.126,0,0,0,0,0,0,18,0,2.540,7.430,4.400,3430191104,1912221696,193384448,10586173440,86,106,0,0,0,0,0,1835008,1021571072,1072,1839,0,13184,350037,0,0,6,57,12,10,59,0,1074,16,20,0,0,7,8,0,7,2,17,8,56,874,54,820,0,471,883,549,0,0,0,0,0,288799,3141,174724,22176,
22-03 22:06:24,3.153,1.765,95.082,0,0,0,0,0,0,0,16,0,2.540,7.430,4.400,3431018496,1911963648,193384448,10585579520,119,0,0,0,9,0,0,1835008,1021571072,1328,3232,0,13184,349969,0,0,6,57,12,10,59,0,1074,16,20,0,0,7,8,0,7,2,17,8,56,874,54,820,0,1693,1709,1979,0,0,0,0,0,288799,3141,174536,22176,
22-03 22:06:25,3.535,1.263,95.076,0.126,0,0,417792,0,0,0,63,0,2.540,7.430,4.400,3431923712,1911054336,193388544,10584805376,46,358,0,0,0,0,28,1835008,1021571072,1274,2051,0,13184,349967,0,0,6,57,12,10,59,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,3,165,292,0,0,0,0,0,288799,3141,174439,22176,
22-03 22:06:26,4.030,1.134,94.584,0.252,0,0,294912,0,0,0,18,0,2.330,7.310,4.370,3429527552,1913200640,193413120,10585296896,213,187,0,0,1,0,70,1835008,1021571072,1299,2369,0,13184,349966,0,0,6,57,12,10,59,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,186,362,955,0,0,0,0,0,288799,3141,174880,22176,
22-03 22:06:27,4.930,2.655,92.288,0.126,0,0,0,0,0,0,38,0,2.330,7.310,4.370,3356680192,1986228224,193413120,10584850432,16512,5815,0,0,8,0,0,1835008,1021571072,1720,4149,0,13184,349975,0,0,6,57,12,10,59,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1435,1645,19740,0,0,0,0,0,288799,3141,192730,22176,
22-03 22:06:28,3.914,2.525,93.434,0.126,0,0,16842752,0,0,0,24,0,2.330,7.310,4.370,3359117312,1983774720,193413120,10585391104,15304,982,1,0,0,0,2460,1835008,1021571072,2889,7688,0,13184,349976,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,88,2310,2211,0,0,0,0,0,288799,3141,192188,22176,
22-03 22:06:29,3.807,1.523,94.670,0,0,0,0,0,0,0,14,0,2.330,7.310,4.370,3358822400,1984053248,193413120,10584870912,0,0,0,0,8,0,0,1835008,1021571072,1312,3109,0,13184,349975,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1274,1450,1670,0,0,0,0,0,288799,3141,192261,22176,
22-03 22:06:30,3.531,1.135,95.208,0.126,0,0,0,0,0,0,18,0,2.330,7.310,4.370,3360272384,1982509056,193413120,10586288128,167,617,1,0,0,0,0,1835008,1021571072,1162,1973,0,13184,349987,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,458,821,747,0,0,0,0,0,288799,3141,191884,22176,
22-03 22:06:31,4.277,1.761,93.962,0,0,0,0,0,0,0,79,0,2.230,7.200,4.350,3357872128,1984909312,193421312,10585198592,16696,5687,0,1,0,0,38,1835008,1021571072,1325,2874,0,13184,349986,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,4,399,781,0,0,0,0,0,288799,3141,192396,22176,
22-03 22:06:32,3.909,2.018,93.947,0.126,0,0,1736704,0,0,0,22,0,2.230,7.200,4.350,3358674944,1984090112,193421312,10585497600,1571,1071,0,0,8,0,0,1835008,1021571072,1330,3146,0,13184,349986,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1381,1545,1434,0,0,0,0,0,288799,3141,192270,22176,
